2018,CA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"220,039,021"
2018,CA,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),0
2018,CA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"63,660"
2018,CO,Total Electric Power Industry,Coal (Short Tons),"15,269,132"
2018,CO,Total Electric Power Industry,Natural Gas (Mcf),"122,888,523"
2018,CO,Total Electric Power Industry,Petroleum (Barrels),"34,116"
2018,CO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,058"
2018,CO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"322,450"
2018,CO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),42
2018,CO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"5,182"
2018,CO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2018,CO,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2018,CO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"916,869"
2018,CO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2018,CO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"20,731,502"
2018,CO,"Electric Generators, Independent Power Producers",Petroleum (Barrels),851
2018,CO,"Electric Generators, Electric Utilities",Coal (Short Tons),"15,266,074"
2018,CO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"100,912,520"
2018,CO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"33,223"
2018,CT,Total Electric Power Industry,Coal (Short Tons),"220,578"
2018,CT,Total Electric Power Industry,Natural Gas (Mcf),"141,309,794"
2018,CT,Total Electric Power Industry,Petroleum (Barrels),"601,144"
2018,CT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"3,710,795"
2018,CT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),967
2018,CT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"2,325,089"
2018,CT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"3,230"
2018,CT,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,867,910"
2018,CT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"4,844"
2018,CT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"220,578"
2018,CT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"132,884,156"
2018,CT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"582,789"
2018,CT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"521,844"
2018,CT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"9,314"
2018,DC,Total Electric Power Industry,Natural Gas (Mcf),"614,185"
2018,DC,Total Electric Power Industry,Petroleum (Barrels),0
2018,DC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"614,185"
2018,DC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2018,DE,Total Electric Power Industry,Coal (Short Tons),"166,596"
2018,DE,Total Electric Power Industry,Natural Gas (Mcf),"40,377,920"
2018,DE,Total Electric Power Industry,Other Gases (Billion Btu),"1,349"
2018,DE,Total Electric Power Industry,Petroleum (Barrels),"333,360"
2018,DE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"4,164,915"
2018,DE,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"1,349"
2018,DE,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2018,DE,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2018,DE,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"641,569"
2018,DE,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"3,247"
2018,DE,"Electric Generators, Independent Power Producers",Coal (Short Tons),"166,596"
2018,DE,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"35,289,661"
2018,DE,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"317,866"
2018,DE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"281,775"
2018,DE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"12,247"
2018,FL,Total Electric Power Industry,Coal (Short Tons),"13,383,555"
2018,FL,Total Electric Power Industry,Natural Gas (Mcf),"1,272,791,147"
2018,FL,Total Electric Power Industry,Other Gases (Billion Btu),28
2018,FL,Total Electric Power Industry,Petroleum (Barrels),"3,824,094"
2018,FL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"18,309"
2018,FL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"8,036,103"
2018,FL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),28
2018,FL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"21,122"
2018,FL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"150,926"
2018,FL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2018,FL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"16,410,491"
2018,FL,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2018,FL,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2018,FL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"46,940,773"
2018,FL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"27,332"
2018,FL,"Electric Generators, Electric Utilities",Coal (Short Tons),"13,365,246"
2018,FL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,201,252,854"
2018,FL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,775,640"
2018,GA,Total Electric Power Industry,Coal (Short Tons),"16,995,950"
2018,GA,Total Electric Power Industry,Natural Gas (Mcf),"376,879,659"
2018,GA,Total Electric Power Industry,Petroleum (Barrels),"673,440"
2018,GA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"42,627"
2018,GA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"3,625,753"
2018,GA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"238,084"
2018,GA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2018,GA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"7,286"
2018,GA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,256,750"
2018,GA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"18,963"
2018,GA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"87,742,678"
2018,GA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"156,965"
2018,GA,"Electric Generators, Electric Utilities",Coal (Short Tons),"16,953,323"
2018,GA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"284,254,478"
2018,GA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"252,142"
2018,HI,Total Electric Power Industry,Coal (Short Tons),"734,351"
2018,HI,Total Electric Power Industry,Geothermal (Billion Btu),"1,002"
2018,HI,Total Electric Power Industry,Other Gases (Billion Btu),264
2018,HI,Total Electric Power Industry,Petroleum (Barrels),"11,097,703"
2018,HI,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),264
2018,HI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"186,875"
2018,HI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"9,975"
2018,HI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"734,351"
2018,HI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,749,237"
2018,HI,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"1,002"
2018,HI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"453,665"
2018,HI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"8,697,951"
2018,IA,Total Electric Power Industry,Coal (Short Tons),"16,187,277"
2018,IA,Total Electric Power Industry,Natural Gas (Mcf),"49,226,862"
2018,IA,Total Electric Power Industry,Petroleum (Barrels),"165,620"
2018,IA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"495,114"
2018,IA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,181,233"
2018,IA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"26,408"
2018,IA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"18,708"
2018,IA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"491,690"
2018,IA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"10,485"
2018,IA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"75,790"
2018,IA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),72
2018,IA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"7,269"
2018,IA,"Electric Generators, Electric Utilities",Coal (Short Tons),"15,673,455"
2018,IA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"46,478,077"
2018,IA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"121,458"
2018,ID,Total Electric Power Industry,Coal (Short Tons),"4,448"
2018,ID,Total Electric Power Industry,Geothermal (Billion Btu),757
2018,ID,Total Electric Power Industry,Natural Gas (Mcf),"24,271,498"
2018,ID,Total Electric Power Industry,Petroleum (Barrels),93
2018,ID,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"4,448"
2018,ID,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"419,230"
2018,ID,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2018,ID,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"169,572"
2018,ID,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),17
2018,ID,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),757
2018,ID,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"11,072,834"
2018,ID,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"12,609,862"
2018,ID,"Electric Generators, Electric Utilities",Petroleum (Barrels),76
2018,IL,Total Electric Power Industry,Coal (Short Tons),"36,013,092"
2018,IL,Total Electric Power Industry,Natural Gas (Mcf),"141,839,555"
2018,IL,Total Electric Power Industry,Other Gases (Billion Btu),"1,698"
2018,IL,Total Electric Power Industry,Petroleum (Barrels),"106,492"
2018,IL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"510,698"
2018,IL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"4,233,042"
2018,IL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"1,694"
2018,IL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2018,IL,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"9,276"
2018,IL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"2,094,173"
